Close,Net Chg,Open,High,Low,Tick Count,Volume
126.27,0.78,125.49,126.3,125.06,181927,90007094
127.02,0.75,127.02,128.13,126.35,369633,204139707
128.43,1.41,127.02,128.47,125.89,215007,97539562
127.77,-0.66,127.4,128.57,127.17,326575,155169314
126.82,-0.95,127.76,128.35,126.63,179172,87073858
126.24,-0.58,127.12,127.28,125.46,305268,146619401
126.1,-0.14,126.23,127,125.72,142023,69090250
125.26,-0.84,126.04,126.12,124.85,212923,107942965
124.92,-0.34,125.26,126.14,124.76,138434,67044309
127.26,2.34,126.02,127.38,125.9,203701,98028515
128.43,1.17,127.26,128.47,126.78,254798,124004241
128.56,0.13,128.02,128.73,127.48,251974,116628033
129.09,0.53,128.56,129.3,128.28,148369,74280829
128.23,-0.86,127.96,129.055,127.33,230985,117017293
126.9,-1.33,128.23,128.39,126.54,189545,95907661
129.29,2.39,126.58,129.34,126.38,319057,155896784
129.6,0.31,129.29,129.93,127.2,155296,74336118
131.28,1.68,129.47,131.29,129.23,250981,114495198
130.65,-0.63,131.29,131.51,129.94,201948,107212379
129.81,-0.84,130.28,130.355,129.59,234232,106186586
129.3,-0.51,129.81,130.07,128.73,173393,83997750
128.35,-0.95,128.79,128.94,127.67,293082,133174306
128.81,0.46,128.35,129.65,128.34,212891,106675413
129.8,0.99,127.84,130.28,127.75,298876,129423901
129.5,-0.3,129.81,129.97,129.1,158489,71995424
129.9,0.4,129.93,130.5,129.3,253975,117948110
130.05,0.15,129.91,130.15,129.63,91360,40069857
128.64,-1.41,130.43,130.48,128.41,216361,92128174
128.31,-0.33,128.63,128.71,127.66,143532,62607230
127.14,-1.17,127.42,128.118,126.55,242235,102320962
127.03,-0.11,127.15,127.43,126.53,143770,60144354
127.14,0.11,127.39,127.95,126.34,282765,141176978
127.72,0.58,127.14,127.78,126.59,139785,64383560
127.63,-0.09,126.75,127.85,126.6,238501,105932754
127.98,0.35,127.64,128.44,127.46,121614,59651977
129.27,1.29,128.67,129.645,128.56,207920,94712073
129.51,0.24,129.27,129.56,128.97,99244,44460316
127.28,-2.23,128.8,128.84,126.89,216796,99503193
127.1,-0.18,127.27,127.54,126.75,109759,54092034
127.1,0,127.02,127.87,126.65,188425,88575092
127.43,0.33,127.1,127.47,126.58,138561,60111323
128.54,1.11,127.55,128.83,127.3,220584,96102217
128.46,-0.08,128.54,128.8,127.97,120429,52354766
129.9,1.44,129.19,130,129.11,207283,91526527
130.28,0.38,129.9,130.34,129.68,107187,49091499
129.39,-0.89,129.68,130.14,128.77,233056,111289174
128.67,-0.72,129.39,129.96,128.61,101922,48912690
129.11,0.44,130.06,130.71,128.81,248627,119053915
128.14,-0.97,129.11,129.28,127.52,202431,103632548
127.36,-0.78,127.88,128.5,126.93,288838,142096894
127.96,0.6,127.36,128.03,127,185141,95074550
124.65,-3.31,126.97,127.23,124.56,360856,173801449
124.08,-0.57,124.64,125,124,249833,128188784
123.79,-0.29,123.29,124.09,122,382252,165427288
124.71,0.92,123.79,124.95,123.52,179763,83208373
125.98,1.27,128.04,128.24,125.09,452432,227882852
127.25,1.27,125.98,127.27,125.19,197802,97168050
125.3,-1.95,127.1,127.36,124.99,371379,188586717
122.95,-2.35,125.3,125.38,122.92,257377,138961547
123.59,0.64,123.89,124.19,122.55,342943,157813476
123.57,-0.02,123.59,124.9,123.43,203301,96462362
123.04,-0.53,122.12,124.2,121.6,410269,197251688
125.47,2.43,123.03,125.55,123.03,263296,125816131
125.06,-0.41,124.29,125.98,123.83,341861,163866565
125.75,0.69,125.06,125.98,124.77,193118,85989180
122.79,-2.96,121.81,124.28,121.69,481782,218883589
120.2,-2.59,122.79,125.652,120.14,354202,163447208
120.19,-0.01,117.2,121,117,636307,266275489
121.88,1.69,120.19,122.09,117.97,406158,194413000
117.24,-4.64,119.64,120.38,116.71,644378,277571137
116.33,-0.91,117.24,119.69,116,518021,229530860
116.13,-0.2,118.05,119,113.8,784634,342552807
120.55,4.42,116.13,121.79,115.89,637070,310383266
125.58,5.03,126.91,128,122.5,475480,212202895
125.07,-0.51,125.59,125.59,116.52,281534,123588865
122.46,-2.61,124.451,124.75,122.33,240063,104912162
120.7,-1.76,122.46,123.05,120.36,219161,105348920
119.12,-1.58,120.85,122.02,118.82,355136,144706865
118.648,-0.472,119.12,121.19,118.28,311883,140095851
119.38,0.732,119.18,120,118.08,325593,149035681
118.83,-0.55,119.37,119.6,117.79,212932,95383103
121.4,2.57,119.56,121.87,119.07,362128,150966681
121.01,-0.39,121.391,121.91,118.437,246568,102426192
120.02,-0.99,118.83,120.22,118.51,338640,138227331
121.3,1.28,120.02,121.5,119.23,217377,102757051
116.81,-4.49,119.18,119.34,115.76,422815,186248786
113.02,-3.79,116.82,116.91,110.97,457159,209047843
115.01,1.99,113.51,115.04,112.71,346671,125374117
116.54,1.53,115.01,116.8,114.9,289579,131340393
115.65,-0.89,115.18,116.64,113.95,394507,167743838
115.99,0.34,115.65,116.69,114.74,266329,124407990
112.56,-3.43,114.95,115.11,112.06,396422,159181167
111.36,-1.2,112.56,113.11,111.06,324198,142125403
113.86,2.5,112.86,115.45,111.356,454407,184240120
109.98,-3.88,113.87,114.03,109.68,490604,210044758
103.8,-6.18,107.15,107.62,102.53,723817,270833306
106.25,2.45,103.79,106.44,100.64,594739,246806101
102.7,-3.55,106.84,107.33,102.26,641785,241543854
99.81,-2.89,102.71,103.85,99.65,553046,221455238
99.12,-0.69,97.52,102.12,96.81,952010,372932278
98.39,-0.73,99.13,102.18,98.15,575903,223403587
97.82,-0.57,99.66,100.62,95.93,607237,245221230
91.7,-6.12,97.82,98.35,90.9,467374,226048426
86.719,-4.981,86.76,92.06,83.58,958579,433697262
90.47,3.751,86.72,93.94,84.05,641811,311790822
96.38,5.91,93.87,96.53,89.948,488430,209682496
100.8,4.42,96.37,101.01,95.09,385724,177777973
100.69,-0.11,104.7,105.53,99.12,639721,275820266
99.91,-0.78,100.69,101.8,97.11,437830,197729261
94.32,-5.59,97.46,104.817,94.04,570377,237212887
90.72,-3.6,94.32,94.75,90.5,457556,191067767
90.05,-0.67,91.29,92.59,86.54,1064533,414844272
94.4,4.35,90.05,94.77,87.8,544004,199465009
97.2,2.8,91.99,97.42,91.65,551675,227398143
94.09,-3.11,97.2,98.59,93.7,447515,184530177
96.48,2.39,95.35,97.04,94.35,433371,162591016
98.48,2,96.48,98.55,95.1,288721,117677344
96.4,-2.08,96.97,98.64,95.4,498100,176384829
95.5,-0.9,96.4,98.41,95.22,374503,140215849
91.47,-4.03,93.2,93.5,91.18,534095,202639372
90.18,-1.29,91.48,95.556,87.53,502682,216609185
88,-2.18,90.29,92.45,87.76,728021,291488785
91.05,3.05,88,91.87,85.81,655712,274311692
87.66,-3.39,84.06,89,84,830823,298341155
87.54,-0.12,87.66,89.92,85.98,543555,198688477
89.03,1.49,85.97,89.06,85.51,638823,214237585
84.849,-4.181,89.03,89.51,84.68,381867,136032430
87.11,2.261,87.34,88.31,84.53,742540,242963274
93.83,6.72,87.11,94.2,84.95,680335,249649607
94.72,0.89,93.77,95.42,92.79,582545,195027389
92.3,-2.42,94.74,97.17,92.1,794104,285690464
94.2,1.9,95.78,96.51,92.9,657237,209213855
95.46,1.26,94.2,95.95,93.097,496193,163210840
97.52,2.06,95.08,97.85,94.48,546464,176100244
97.17,-0.35,97.52,98.57,95,514454,181783443
96.77,-0.4,96.78,97.69,96.3,357226,109395466
96.72,-0.05,96.75,97.22,95.95,212612,68021048
100.31,3.59,99.06,100.72,96.714,494051,162435314
100.41,0.1,100.31,100.86,98.7,379949,145378307
97.65,-2.76,99.2,100.2,97.14,582462,194771169
95.45,-2.2,97.65,97.91,95,435851,151913178
91.16,-4.29,94.46,95.44,90.61,703067,243296153
90.6,-0.56,91.17,92.39,90.06,515229,189086082
92.71,2.11,91.65,94.6,90.86,578716,188623496
93.13,0.42,92.7,93.41,91.33,395331,134718293
92.27,-0.86,95.21,95.53,91.49,440051,145229952
92.17,-0.1,92.27,92.92,90.92,330939,117413581
89.16,-3.01,90.76,90.95,88.65,516825,168872482
90.1,0.94,89.17,92.04,88.9,625047,216360174
87.28,-2.82,88.23,88.95,86.81,645807,216097802
85.73,-1.55,87.28,90.152,85.12,431150,163446204
84.18,-1.55,86.13,87.08,82.09,908865,303033355
91.46,7.28,84.19,91.73,83.92,1021103,373224896
88.64,-2.82,89.41,91.11,87.23,708910,233075097
87.68,-0.96,88.64,92.06,87.32,695886,249300767
87.43,-0.25,86.38,88.56,85.16,691375,227669491
85.39,-2.04,87.43,87.8,85.2,437084,147841969
84.8,-0.59,85.15,87,84.26,674072,214355643
86.17,1.37,84.8,86.35,82.91,748096,262274948
83.12,-3.05,85.91,86.87,83.03,725061,232198150
81.14,-1.98,83.12,84.14,80.92,757402,261313027
80.01,-1.13,80.13,86.032,77.92,1372466,444738234
75.77,-4.24,80.01,81,75.08,860643,297330158
75.85,0.08,77.46,77.75,74.34,1012844,319736801
