Last Price,Ask Price,Bid Price,UBB(2),BollMA (20),LBB(2),EMAVG (5),SMAVG (200),SPY US Equity - Volume,SMAVG (15),BollW (SPY US),%B (SPY US),"MACD(12,26)",Sig(9),Diff,RSI,Moving Average,SPX Index - Last Price,CBOE VIX index- Last Price
100.7,100.69,100.66,102.0274,99.431,96.8346,99.4039,89.8957,31432300,38826892,5.2226,0.7444,0.7344,0.9234,-0.189,60.1968,56.7013,1004.42,20.06
101.15,101.1,101.02,102.216,99.576,96.936,99.9859,89.978,33159700,38609400,5.3024,0.7981,0.8444,0.9076,-0.0632,61.6512,55.9778,1007.84,19.48
100.58,100.34,100.31,102.3131,99.6425,96.9719,100.1839,90.0591,36632000,38596572,5.3603,0.6755,0.8754,0.9012,-0.0258,58.7241,55.0892,1002.21,18.93
99.3,99.39,99.3,102.2494,99.5925,96.9356,99.8893,90.1373,49850500,39549792,5.3355,0.445,0.7876,0.8785,-0.0908,52.6758,54.4654,988.7,19.19
100.24,100.26,100.15,102.2073,99.574,96.9407,100.0062,90.227,40079100,39317020,5.2892,0.6265,0.7849,0.8597,-0.0749,56.2403,54.3259,998.14,18.47
100.73,100.78,100.74,102.3135,99.6325,96.9515,100.2475,90.3089,42157200,39357172,5.3819,0.7047,0.8129,0.8504,-0.0375,58.0155,54.6881,1003.86,19.59
100.51,101,100.9,102.1258,99.575,97.0242,100.335,90.3828,63632700,41309712,5.1234,0.6833,0.808,0.8419,-0.0339,56.8994,54.939,1000.42,19.55
99.92,99.73,99.48,101.8609,99.488,97.1151,100.1966,90.4686,40217600,41575028,4.7702,0.591,0.7479,0.8231,-0.0752,53.9044,55.3244,994,19.76
98.5,98.64,98.15,101.5401,99.3345,97.1289,99.6311,90.5522,48928600,41645968,4.4408,0.3108,0.579,0.7743,-0.1953,47.4333,54.8353,981.73,20.22
99.51,99.64,99.54,101.494,99.309,97.124,99.5907,90.6211,35705800,41789552,4.4004,0.546,0.5206,0.7235,-0.2029,51.86,55.0414,993.32,19.11
98.28,98.32,98.29,101.4802,99.251,97.0218,99.1538,90.6968,35142700,40518000,4.492,0.2822,0.3709,0.653,-0.2821,46.702,54.8888,978.8,19.78
99.17,99.44,99.37,101.4855,99.2885,97.0915,99.1592,90.7811,50010600,41594352,4.4255,0.473,0.3203,0.5865,-0.2662,50.5356,54.7105,988.11,19.17
99.24,99.33,99.24,101.4934,99.3245,97.1556,99.1861,90.8733,37302100,40653268,4.3672,0.4805,0.2826,0.5257,-0.2431,50.8352,54.1899,988.61,18.64
98.49,98.4,98.3,101.4194,99.3725,97.3256,98.9541,90.9701,41176100,41086360,4.1197,0.2844,0.19,0.4586,-0.2685,47.5152,53.7992,981.6,18.6
100.23,100.43,100.38,101.5058,99.444,97.3822,99.3794,91.0694,43329600,41917108,4.1467,0.6906,0.2542,0.4177,-0.1635,54.8778,53.4193,998.68,17.75
99.86,99.9,99.86,101.4516,99.554,97.6564,99.5396,91.1782,34417000,42116088,3.8121,0.5806,0.272,0.3885,-0.1166,53.1698,52.8135,996.52,18.36
99.4,99.45,99.35,101.3259,99.6425,97.9591,99.4931,91.272,53571600,43476880,3.3788,0.428,0.2461,0.3601,-0.1139,51.0427,52.2648,989.28,18.67
99.16,99.19,99.11,101.2954,99.674,98.0526,99.382,91.347,28428700,42929992,3.2533,0.3415,0.2039,0.3288,-0.1249,49.9206,52.068,987.49,18.85
99.39,99.64,99.4,101.2803,99.655,98.0297,99.3847,91.4208,59123300,43548180,3.2619,0.4185,0.1869,0.3005,-0.1135,51.0316,51.6959,990.31,19.49
98.51,98.5,98.4,101.2976,99.6435,97.9894,99.0931,91.4699,49326900,44164700,3.3199,0.1574,0.1012,0.2606,-0.1594,46.7575,50.8918,980.15,20.75
98.51,99.5,98.48,101.1837,99.534,97.8843,98.8988,91.5297,55546900,45057348,3.3149,0.1896,0.033,0.2151,-0.1821,46.7575,50.1674,982.82,21.27
96.42,96.54,96.35,101.2761,99.2975,97.3189,98.0725,91.5704,61749600,44931808,3.9853,-0.2271,-0.1876,0.1345,-0.3222,37.9928,49.0308,965.46,22.68
96.98,96.98,96.95,101.246,99.1175,96.989,97.7083,91.6121,51183600,45662872,4.295,-0.0021,-0.3137,0.0449,-0.3586,41.1746,48.5838,967.08,21.5
98,98,97.92,101.2335,99.0525,96.8715,97.8056,91.6513,43549000,45304232,4.4038,0.2587,-0.3275,-0.0296,-0.2979,46.5542,48.2048,974.12,20.26
98.28,98.3,98.29,101.0889,98.9545,96.8201,97.9637,91.6951,27359700,44747828,4.3139,0.342,-0.3122,-0.0861,-0.2261,47.961,48.2947,977.59,19.59
98.65,98.68,98.55,100.8255,98.8505,96.8755,98.1925,91.7373,34638500,44714212,3.9959,0.4492,-0.2672,-0.1223,-0.1448,49.8401,48.245,980.59,19.75
